Param 2 Return Timeframe,HUD CoC Number,2015,2016,2017,2018,2019,2020,2021
9%,VA-501,,,9.10%,,,,
9%,TN-506,,9.10%,,,,,
9%,MA-505,,9.20%,,,,,
9%,MA-517,,,,9.20%,,,
9%,MI-504,9.20%,,,,,,
9%,GA-506,,,,,,9.20%,
9%,TN-507,,,,,,9.20%,
9%,MS-501,,,,9.20%,,,
9%,CA-612,,9.20%,,,,,
9%,PA-510,,,,,,,9.20%
9%,MA-503,,,,,,,9.20%
9%,FL-603,,,,,9.20%,,
9%,CA-524,,,,,9.20%,,
9%,MI-502,9.20%,,,,,,
9%,TX-600,9.20%,,,,,,
9%,AL-501,,,,,9.20%,,
9%,TN-512,,,,,9.20%,,
9%,NJ-507,,9.30%,,,,,
9%,NJ-501,,9.30%,,,,,
9%,MD-507,,9.30%,,,,,
9%,CA-606,,9.30%,,,,,
9%,MN-504,,,,,9.30%,,
9%,TX-604,,,,9.30%,,,
9%,IL-518,,,,,,9.30%,
9%,MN-504,,,,,,9.40%,
9%,NY-513,,,,9.40%,,,
9%,CA-611,,,,,,,9.40%
9%,MN-501,9.40%,,,,,,
9%,NJ-501,,,,,,9.40%,
9%,AR-501,,,,,9.40%,,
9%,IL-515,,,,9.40%,,,
9%,MT-500,,,,,,,9.40%
9%,NY-511,,9.40%,,,,,
9%,CA-611,9.40%,,,,,,
9%,PA-511,,,,,,,9.50%
9%,KS-505,,,,,,,9.50%
9%,LA-505,,,,,9.50%,,
9%,NY-518,,9.50%,,,,,
9%,MN-501,,9.50%,,,,,
9%,LA-505,,9.50%,,,,,
9%,MS-501,,,,,,,9.50%
9%,LA-506,,,,,,9.50%,
10%,FL-606,,9.50%,,,,,
10%,OK-502,,,,,,9.50%,
10%,NJ-514,,,,9.50%,,,
10%,IL-518,,9.50%,,,,,
10%,MN-503,,,,9.60%,,,
10%,OR-506,,,,,,9.60%,
10%,MD-600,9.60%,,,,,,
10%,NJ-508,,,9.60%,,,,
10%,KS-507,,,,,,,9.60%
10%,MS-503,,,,,,9.60%,
10%,NJ-513,,,,9.60%,,,
10%,PA-502,,,,,9.60%,,
10%,NY-520,,,,,,9.60%,
10%,CA-514,,9.70%,,,,,
10%,MA-510,,,9.70%,,,,
10%,MN-504,,,9.70%,,,,
10%,WA-504,9.70%,,,,,,
10%,CA-530,,,9.70%,,,,
10%,NJ-513,,,,,9.70%,,
10%,NC-513,,9.70%,,,,,
10%,FL-513,9.70%,,,,,,
10%,MN-505,,9.70%,,,,,
10%,PA-509,,,,,,,9.70%
10%,VA-513,,,,,,9.70%,
10%,MD-502,,9.70%,,,,,
10%,MO-602,,,,9.70%,,,
10%,OR-505,,,,,,,9.80%
10%,NC-511,9.80%,,,,,,
10%,NY-501,,,9.80%,,,,
10%,KS-503,,,,,,,9.80%
10%,GA-504,,,,,,,9.80%
10%,FL-515,,,,,,,9.80%
10%,CA-510,,9.80%,,,,,
10%,OK-507,,,,9.90%,,,
10%,WA-501,,,,9.90%,,,
10%,NJ-510,,,,,9.90%,,
10%,PA-501,,,,,,,9.90%
10%,TN-512,9.90%,,,,,,
10%,MA-504,,,,9.90%,,,
10%,OK-507,,,,,,9.90%,
10%,MA-503,,,10.00%,,,,
10%,NY-518,,,10.00%,,,,
10%,CA-611,,10.00%,,,,,
10%,CA-526,,10.00%,,,,,
10%,FL-505,,,10.00%,,,,
10%,KS-505,,,,,,10.00%,
10%,MD-600,,,,10.00%,,,
10%,CA-501,,,10.00%,,,,
10%,CA-518,,,,,10.00%,,
10%,VA-507,,,10.00%,,,,
10%,NJ-514,,,,,,10.00%,
10%,ID-500,,10.00%,,,,,
10%,MN-508,,,,,,,10.10%
10%,NH-501,,,,,,,10.10%
10%,MN-502,,,,,10.10%,,
10%,TN-506,,,,,,,10.10%
10%,MS-503,,,,,10.10%,,
10%,MD-504,,,10.10%,,,,
10%,MO-606,10.10%,,,,,,
10%,MO-604M,,,,,,,10.20%
10%,OR-505,,,,10.20%,,,
10%,FL-520,,,,,10.20%,,
10%,CA-602,,,10.20%,,,,
10%,NJ-504,,,10.20%,,,,
10%,OH-508,10.20%,,,,,,
10%,NY-522,10.20%,,,,,,
10%,MD-600,,10.20%,,,,,
10%,ID-500,,,,,,10.30%,
10%,NJ-500,,10.30%,,,,,
10%,NY-604,10.30%,,,,,,
10%,NJ-513,,,,,,,10.30%
10%,MN-508,,,,,,10.30%,
10%,VA-505,,10.30%,,,,,
10%,WA-504,,10.30%,,,,,
10%,MS-503,,,,10.30%,,,
10%,NJ-500,10.30%,,,,,,
10%,PA-601,,,10.30%,,,,
10%,PA-502,,10.30%,,,,,
10%,OR-502,,,,,,10.40%,
10%,FL-514,,10.40%,,,,,
10%,GA-503,,,,,,,10.40%
10%,AL-503,,,10.40%,,,,
10%,NH-502,,,10.40%,,,,
10%,CA-606,,,10.40%,,,,
10%,GA-503,,,,10.40%,,,
10%,VT-500,10.40%,,,,,,
10%,FL-510,10.40%,,,,,,
10%,PA-500,,,,10.40%,,,
10%,GA-506,,,10.40%,,,,
10%,MN-503,,,,,10.40%,,
10%,PA-502,,,10.40%,,,,
10%,MO-606,,10.40%,,,,,
10%,NY-511,,,,10.40%,,,
10%,MA-505,,,,10.40%,,,
10%,IL-515,,,,,,,10.50%
10%,MO-503,,,,,,,10.50%
11%,MA-510,10.50%,,,,,,
11%,FL-606,10.50%,,,,,,
11%,MA-505,10.50%,,,,,,
11%,MI-502,,,,,,,10.50%
11%,VI-500,,,,10.50%,,,
11%,GA-506,,10.60%,,,,,
11%,SC-503,,,,,,,10.60%
11%,MN-503,,,,,,,10.60%
11%,MA-511,,,10.60%,,,,
11%,NY-501,10.60%,,,,,,
11%,CA-530,,,,,10.60%,,
11%,OK-503,,,,,10.60%,,
11%,VA-505,,,,10.60%,,,
11%,NJ-501,,,10.70%,,,,
11%,FL-503,,,,10.70%,,,
11%,CO-505,,,,,10.70%,,
11%,MA-519,,,,,,,10.70%
11%,NJ-501,,,,,10.70%,,
11%,CA-606,,,,10.70%,,,
11%,NJ-514,,10.70%,,,,,
11%,OR-502,,,10.70%,,,,
11%,CA-614,,10.70%,,,,,
11%,FL-606,,,10.70%,,,,
11%,IL-500,,,10.70%,,,,
11%,MO-604M,,,,,,10.70%,
11%,TX-607,,,,,,,10.70%
11%,PA-501,10.70%,,,,,,
11%,LA-506,,10.70%,,,,,
11%,NC-511,,10.70%,,,,,
11%,VA-505,,,10.80%,,,,
11%,WA-501,,,,,,10.80%,
11%,NY-520,,,,10.80%,,,
11%,ID-500,10.80%,,,,,,
11%,NY-514,,,,10.80%,,,
11%,TX-701,,,,,,10.80%,
11%,VA-508,,,,,,,10.80%
11%,AL-506,,,10.80%,,,,
11%,MA-505,,,10.80%,,,,
11%,MD-509,,,10.80%,,,,
11%,VA-602,,,10.80%,,,,
11%,NC-513,,,,,,,10.80%
11%,VA-513,,10.90%,,,,,
11%,OK-502,,,,,10.90%,,
11%,WA-501,,,,,,,10.90%
11%,MO-606,,,,,10.90%,,
11%,MS-500,,,,,,10.90%,
11%,IL-516,,,,,,10.90%,
11%,MD-511,,,,,,,10.90%
11%,VT-501,,,,10.90%,,,
11%,IL-512,,,,,,10.90%,
11%,NJ-504,,,,,,,10.90%
11%,MN-511,,10.90%,,,,,
11%,OK-500,,,,,10.90%,,
11%,PA-601,,,,10.90%,,,
11%,ID-500,,,,,10.90%,,
11%,NY-514,,10.90%,,,,,
11%,VA-507,,,,,,10.90%,
11%,WA-503,10.90%,,,,,,
11%,NJ-502,,,11.00%,,,,
11%,NY-523,,,,,,,11.00%
11%,TX-603,11.00%,,,,,,
11%,LA-506,,,,11.00%,,,
11%,TX-600,,11.00%,,,,,
11%,NY-503,,,,,,,11.00%
11%,WA-501,,,,,11.00%,,
11%,CA-501,,,,,11.00%,,
11%,FL-519,,,,,11.00%,,
11%,MO-606,,,,11.00%,,,
11%,IL-501,,11.00%,,,,,
11%,MO-503,,,,,,11.00%,
11%,GA-505,11.00%,,,,,,
11%,AL-501,,,,,,11.00%,
11%,FL-520,,,11.00%,,,,
11%,SC-501,,,11.00%,,,,
11%,PA-601,,,,,11.10%,,
11%,FL-505,11.10%,,,,,,
11%,WA-504,,,,11.10%,,,
11%,CA-516,,,,,,11.10%,
11%,NY-523,11.10%,,,,,,
11%,OR-506,,,,,,,11.10%
11%,NJ-516,,,,,11.10%,,
11%,MS-500,,11.20%,,,,,
11%,MD-508,,,,,11.20%,,
11%,OR-506,11.20%,,,,,,
11%,SC-501,,,,,11.20%,,
11%,WA-504,,,,,11.20%,,
11%,NY-514,,,11.20%,,,,
11%,SC-501,,11.20%,,,,,
11%,MO-600,,,11.20%,,,,
11%,WA-507,11.20%,,,,,,
11%,NJ-503,,,,,,,11.20%
11%,CA-530,,,,,,11.20%,
11%,NY-507,,,11.20%,,,,
11%,FL-603,,,,,,11.30%,
11%,MS-500,,,11.30%,,,,
11%,IL-507,,,11.30%,,,,
11%,FL-509,,11.30%,,,,,
11%,NY-507,,11.30%,,,,,
11%,OR-506,,,11.30%,,,,
11%,ME-500,,,,,,11.30%,
11%,FL-515,,,,,11.30%,,
11%,NV-502,,,,,,11.30%,
11%,PA-601,,,,,,11.30%,
11%,OR-506,,11.30%,,,,,
11%,LA-506,,,,,11.40%,,
11%,MO-503,,,11.40%,,,,
11%,LA-503,,,11.40%,,,,
11%,NJ-514,,,,,,,11.40%
11%,OK-502,,11.40%,,,,,
11%,PA-500,,11.40%,,,,,
11%,CA-526,,,,,11.40%,,
11%,FL-512,,,11.40%,,,,
11%,CA-602,11.40%,,,,,,
11%,TX-624,,,,,,11.40%,
11%,VT-501,,,,,11.40%,,
11%,MD-514,,,,,,,11.40%
11%,MO-503,,,,11.50%,,,
11%,CA-527,,,,,,,11.50%
11%,IL-508,11.50%,,,,,,
11%,OR-505,11.50%,,,,,,
12%,LA-503,,,,11.50%,,,
12%,IL-515,,,11.50%,,,,
12%,MD-502,11.50%,,,,,,
12%,VA-503,,11.50%,,,,,
12%,MO-606,,,11.50%,,,,
12%,FL-520,,,,11.50%,,,
12%,MO-600,,11.50%,,,,,
12%,MD-514,,,,,,11.50%,
12%,MO-602,,,,,,,11.50%
12%,MA-500,,,,,,11.50%,
12%,MN-502,,,,,,11.60%,
12%,WA-504,,,,,,11.60%,
12%,VA-508,,,,11.60%,,,
12%,FL-605,,11.60%,,,,,
12%,WA-501,,,11.60%,,,,
12%,MI-511,,,,11.60%,,,
12%,CA-506,,,,,,,11.60%
12%,GA-506,,,,,11.60%,,
12%,OR-502,,11.60%,,,,,
12%,NJ-501,,,,,,,11.60%
12%,NJ-503,,11.60%,,,,,
12%,IL-501,,,11.60%,,,,
12%,MI-523,,,,11.60%,,,
12%,GA-501,,,,,,,11.60%
12%,TN-503,,,,,,,11.60%
12%,NV-502,,,,,11.70%,,
12%,SC-501,,,,11.70%,,,
12%,MD-508,,,,11.70%,,,
12%,MI-504,,,,,,11.70%,
12%,NJ-501,11.70%,,,,,,
12%,SC-501,,,,,,,11.70%
12%,WA-500,11.70%,,,,,,
12%,NY-522,,,,,,,11.70%
12%,MO-500,11.70%,,,,,,
12%,LA-508,11.70%,,,,,,
12%,TN-509,,,11.80%,,,,
12%,CA-501,,,,,,,11.80%
12%,CA-606,,,,,11.80%,,
12%,AL-503,,,,11.80%,,,
12%,GA-504,,,11.80%,,,,
