HUD CoC Number,2015,2016,2017,2018,2019,2020,2021
MO-501,0.088,0.146,0.217,0.184,0.179,0.175,0.225
MO-503,0.136,0.139,0.115,0.267,0.167,0,0.207
MO-600,0.205,0.081,0.096,0.2,0.171,0.119,0.119
MO-602,0,0.195,0.14,0.068,0.121,0.115,0.061
MO-603,0.121,0.087,0.095,0.048,0.088,0.054,0
MO-604K,0.145,0.163,,,,,
MO-604M,0.264,0.175,0.141,0.158,0.169,0.14,0.22
MO-606,0.17,0.082,0.141,0.108,0.134,0.115,0.109
MP-500,,,,,,,
MS-500,0.191,0.133,0.093,0.077,0.079,0.083,0.051
MS-501,0.207,0.2,0.212,0.223,0.291,0.185,0.217
MS-503,0,0.212,0.222,0.143,0.261,0.355,0.234
MT-500,0.112,0.161,0.145,0.271,0.131,0.082,0.078
NC-500,0.147,0.154,0.056,0.068,0.076,0.083,0.052
NC-501,0,0.1,0.067,0,0,0.048,0.077
NC-502,0.242,0.241,0.145,0.132,0.157,0.333,0.179
NC-503,0.09,0.129,0.157,0.164,0.171,0.142,0.095
NC-504,0.147,0.197,0.386,0.313,0.111,0.192,0.179
NC-505,0.404,0.295,0.109,0.147,0.125,0.169,0.067
NC-506,0.261,0.25,0.463,0.396,0.327,0.333,0.419
NC-507,0.26,0.27,0.326,0.144,0.176,0.116,0.259
NC-509,0.25,0.179,0.051,0,0.063,0.034,0.158
NC-511,0.095,0.161,0.407,0.471,0.64,0.375,0.15
NC-513,0,0.167,0.25,0,0,0,0.143
NC-516,0.063,0.083,0.061,0.296,0.129,0.2,0.5
ND-500,0.108,0.127,0.233,0.102,0.089,0.093,0.042
NE-500,0.511,0.497,0.444,0.455,0.483,0.316,0.323
NE-501,0.235,0.238,0.218,0.276,0.174,0.107,0.117
NE-502,0.165,0.199,0.147,0.082,0.235,0.156,0.174
NH-500,0.167,0.217,0.188,0.097,0.128,0.192,0.127
NH-501,0.225,0.25,0.17,0.05,0.185,0.125,0.091
NH-502,0.038,0.074,0.063,0.192,0.045,0,0.067
NJ-500,0.389,,0.038,0.19,0.269,0.107,0.107
NJ-501,0.471,0.487,0.576,0.48,0.591,0.154,0.442
NJ-502,0,0.25,0.167,0,0,0,0
NJ-503,0.042,0.1,0.143,0.083,0.05,0.091,0.231
NJ-504,0.036,0.11,0.111,0.198,0.192,0.19,0.147
NJ-506,0.167,0.406,0.304,0.271,0.363,0.242,0.227
NJ-507,0.152,0.179,0.174,0.129,0.226,0.267,0.239
NJ-508,0.171,0.071,0.086,0,0.121,0,0.273
NJ-509,0.037,0.4,0.271,0.063,0.13,0,0.48
NJ-510,0,0,0,0,0.167,0,0.25
NJ-511,0.04,0.125,0.2,0.026,0.156,0.318,0
NJ-512,0,0.071,0,,,0,0
NJ-513,0.071,0.063,0,0,1,0.143,0.667
NJ-514,0.066,0.116,0.112,0.143,0.278,0.105,0.138
NJ-515,0.136,0.032,0.14,0.174,0.133,0.064,0.053
NJ-516,0.161,0.2,0.269,0.294,0.169,0.158,0.128
NM-500,0.085,0.144,0.142,0.141,0.178,0.133,0.128
NM-501,0.179,0.175,0.139,0.171,0.247,0.163,0.211
NV-500,0.083,0.182,0.172,0.172,0.145,0.148,0.142
NV-501,0.059,0.051,0.037,0.057,0.105,0.045,0.179
NV-502,0.107,0.374,0.256,0.087,0.258,0.154,0.133
NY-500,0.096,0.123,0.175,0.118,0.093,0.109,0.133
NY-501,0.1,0.185,0.154,0.089,0.085,0.059,0.167
NY-502,,,,,,,
NY-503,0.275,0.263,0.288,0.244,0.238,0.28,0.153
NY-504,0.086,0,0.263,0.136,0.143,,
NY-505,0.157,0.115,0.245,0.135,0.176,0.12,0.11
NY-507,0.173,0.174,0.177,0.194,0.271,0.143,0.241
NY-508,0.12,0.116,0.127,0.131,0.167,0.192,0.134
NY-510,0.167,0.222,0.158,0.185,0.133,0.2,0.05
NY-511,,0.165,0.107,0.079,0.183,0.149,0.086
NY-512,0.161,0.145,0.13,0.026,0.176,0.078,0.083
NY-513,,,,0.019,0.129,0.118,0.333
NY-514,,0.071,0,0.105,0.08,0.038,0
NY-516,0.167,0,,0,0.167,,
NY-518,0.131,0.223,0.205,0.156,0.187,0.184,0.131
NY-519,0.071,0.4,0,0,0,0,0.167
NY-520,0.25,0,0,0.167,,0,
NY-522,0.099,0.115,0.078,0.05,0.169,0.174,0.167
NY-523,0.211,0.212,0.229,0.164,0.172,0.225,0.2
NY-525,,,,,0.167,0.125,0.25
NY-600,0.161,0.133,0.173,0.201,0.193,0.167,0.201
NY-601,0.185,0.113,0.212,0.174,0.2,0.164,0.104
NY-602,0.206,0.25,0.239,0.2,0.17,0.122,0.091
NY-603,0.109,0.156,0.188,0.171,0.143,0.099,0.259
NY-604,0.157,0.14,0.177,0.116,0.17,0.121,0.15
NY-606,0,0.5,1,0.235,0.333,0.25,0.333
NY-607,,0,0,0,,,
NY-608,0.128,0.079,0.158,0.286,0.326,0.378,0.114
OH-500,0.312,0.312,0.252,0.255,0.218,0.163,0.202
OH-501,0.28,0.197,0.205,0.195,0.197,0.185,0.06
OH-502,0.187,0.216,0.19,0.123,0.129,0.112,0.083
