HUD CoC Number,2015,2016,2017,2018,2019,2020,2021
OH-503,"7,019","7,534","5,936","5,862","6,515","5,139","4,985"
OH-504,732,"1,085","1,371",690,427,520,615
OH-505,"3,157","2,889","2,901","3,025","3,065","2,535","2,416"
OH-506,"2,359","2,400","2,366","2,491","1,697",927,"1,510"
OH-507,"12,258","12,662","12,077","12,044","12,019","10,366","10,335"
OH-508,877,968,998,901,920,830,782
OK-500,659,554,411,687,504,30,48
OK-501,"3,442","3,519","3,402","3,690","3,733","2,593","2,879"
OK-502,"3,190","3,411","2,500","2,246","1,127","1,362","3,672"
OK-503,213,130,184,191,83,142,210
OK-504,444,543,480,477,390,265,646
OK-505,456,303,338,788,540,550,442
OK-506,251,278,199,,0,0,300
OK-507,834,"1,396","1,290",840,615,645,943
OR-500,"2,757","2,887","2,342","2,344","2,190","1,918","1,533"
OR-501,"6,471","8,070","8,949","6,435","5,739","4,913","4,802"
OR-502,779,693,"1,163",793,743,"1,206","1,315"
OR-503,933,983,874,887,"1,135",533,903
OR-504,,,,419,"1,688","1,388","1,345"
OR-505,"4,658","5,337","6,944","2,504","3,283","3,392","2,669"
OR-506,746,705,661,703,"1,251","1,279","1,389"
OR-507,475,524,641,541,"1,236",882,645
PA-500,"6,677","6,215","5,748","8,638","9,402","8,133","7,743"
PA-501,714,777,711,750,423,372,883
PA-502,977,"1,084","1,040","1,076","1,046",751,"1,054"
PA-503,785,864,410,864,895,318,579
PA-504,733,798,647,584,491,494,665
PA-505,"1,089","1,211","1,172","1,069",888,801,920
PA-506,"1,446","1,168","1,287","1,311","1,263","1,066","1,243"
PA-508,564,549,544,707,606,389,384
PA-509,"3,599","4,692","4,306","4,300","4,194","3,623","3,959"
PA-510,"1,042","1,416","1,366","1,110",797,659,732
PA-511,687,734,730,718,709,559,686
PA-512,"1,459","1,495","1,386","1,372","1,347","1,685","1,302"
PA-600,"3,716","3,322","3,726","3,302","3,185","2,587","2,074"
PA-601,"2,305","2,452","2,280","2,094","2,144","1,961","2,231"
PA-603,511,586,521,509,829,739,698
PA-605,937,"1,161","1,225","1,238","1,306",913,798
PR-502,"1,281","1,328","1,025","1,664","1,036",529,717
PR-503,894,831,783,712,682,530,489
RI-500,"2,232","2,441","2,525","2,084",950,"1,555","1,587"
SC-500,"1,166","1,095","1,169","1,100",987,761,570
SC-501,"1,477","1,317","1,272","1,277","1,107",961,951
SC-502,"2,633","2,533","3,099","2,561","2,313","2,013","1,992"
SC-503,"1,927","2,117","2,012","1,807","1,846","1,715","1,754"
SD-500,"1,928","1,958","1,972","2,008","1,743","1,720","3,602"
TN-500,"1,985","2,090","2,081","1,224","1,708","1,178","1,122"
TN-501,"2,058","3,980","3,662","3,401","2,919","1,822","2,675"
TN-502,"2,835","2,520","2,537","2,573","3,281","2,679","2,561"
TN-503,"1,125","1,078",648,"1,031","1,040",550,629
TN-504,"2,221","1,991","1,615","1,401","1,185","1,180","1,803"
TN-506,467,562,479,472,762,417,510
TN-507,763,656,528,654,547,395,692
TN-509,"1,052","1,295","1,106","1,114","1,216",775,962
TN-510,209,209,904,3,475,483,590
TN-512,"1,107","1,147",645,428,580,432,324
TX-500,"5,177","4,896","3,656","3,217","3,052","2,631","3,547"
TX-503,"3,283","3,494","3,039","3,339","3,561","2,646","2,627"
TX-600,"3,846","4,486","4,389","7,446","6,494","6,871","5,141"
TX-601,"7,280","5,328","6,154","5,629","4,147","4,430","4,799"
TX-603,"2,047","1,558","2,187","2,381","2,067","2,190","3,768"
TX-604,858,746,747,641,673,532,521
TX-607,"9,740","7,214","8,715","10,248","16,492","7,256","21,626"
TX-611,164,"1,301","1,544",33,"1,071",951,754
TX-624,0,1,0,6,290,552,431
TX-700,"11,818","11,049","10,670","10,894","8,752","6,141","7,211"
TX-701,587,532,576,474,604,462,509
UT-500,"5,042","5,899","5,457","5,710","5,387","4,143","4,047"
UT-503,"3,153","3,720","3,566","3,263","3,014","2,847","3,132"
UT-504,"1,357","1,246","1,110",956,630,422,710
VA-500,"2,293","2,586","2,160","2,255","2,338","1,655","2,701"
VA-501,"1,605","1,442","1,644","1,766","2,039","1,485","1,185"
VA-502,420,"2,068","1,691","1,662","1,641",967,648
VA-503,777,672,679,560,586,628,545
VA-504,8,249,219,302,267,220,202
VA-505,"1,394","1,267","1,148",937,817,"1,072",874
VA-507,600,556,295,232,113,112,97
VA-508,579,579,589,598,630,404,239
VA-513,598,543,446,445,553,654,812
VA-514,593,608,659,615,519,442,370
VA-521,"2,322","2,062","2,084","1,970","2,020","2,010","2,328"
VA-600,532,177,195,352,488,473,366
VA-601,"2,081","2,025","2,166","1,889","1,897","1,698","1,657"
VA-602,245,416,422,259,193,229,191
VA-603,568,509,451,533,527,421,358
VA-604,954,"1,072","1,103","1,154",599,593,458
VI-500,0,145,114,83,69,72,39
VT-500,"1,504","2,632","2,186","1,891","2,028","1,524","1,747"
VT-501,255,192,609,774,761,487,643
WA-500,"9,330","11,393","12,335","12,258","9,599","10,298","8,167"
WA-501,"11,849","13,727","13,372","12,957","7,517","10,901","11,223"
WA-502,"3,396","3,828","4,332","5,039","4,815","3,125","2,490"
WA-503,"4,018","4,202","3,704","3,283","3,879","3,471","3,458"
WA-504,"2,395","2,037","2,069","2,308","2,241","2,660","1,908"
WA-507,"1,028","1,564",,,,,
WA-508,"1,442","1,485","1,241","1,410","1,326","1,917","1,541"
WI-500,"9,284","8,681","8,210","8,082","7,750","7,062","7,994"
WI-501,"4,359","4,277","3,660","3,774","3,657","2,739","2,661"
WI-502,698,638,640,707,669,302,254
WI-503,"2,008","1,915","1,973","1,966","1,829","1,467","1,908"
WV-500,251,234,264,273,272,223,218
WV-501,"1,036","1,099","1,032",894,724,567,640
WV-503,911,810,658,782,825,643,583
WV-508,"2,855","2,818","2,505","2,251","2,645","1,791","2,102"
WY-500,"2,147","1,877","2,218","2,106","2,245","1,527","1,867"
