HUD CoC Number,2015,2016,2017,2018,2019,2020,2021
MS-503,0.949,0.948,1,1,1,1,1
MT-500,0.408,0.362,0.146,0.14,0.102,0.661,0.598
NC-500,0.729,0.762,0.731,0.777,0.796,0.775,0.789
NC-501,0.705,0.718,0.631,0.646,0.688,0.652,0.717
NC-502,0.343,1,1,0.987,1,1,1
NC-503,0.656,0.611,0.63,0.652,0.596,0.566,0.607
NC-504,0.843,0.815,0.933,0.946,0.941,1,0.971
NC-505,0.938,0.935,0.978,0.938,0.948,0.931,0.948
NC-506,0.687,0.744,0.779,0.902,0.764,0.782,0.811
NC-507,0.865,0.952,1,1,1,0.828,0.872
NC-509,0.656,0.484,0.609,0.491,0.484,0.624,0.673
NC-511,0.869,1,0.886,1,1,1,1
NC-513,1,1,1,1,0.989,1,0.966
NC-516,0.831,0.746,0.885,0.833,0.558,0.393,0.779
ND-500,0.975,0.985,0.983,0.988,1,0.992,0.91
NE-500,0.581,0.755,0.728,0.666,0.948,0.948,0.979
NE-501,0.621,0.619,0.597,0.544,1,1,1
NE-502,0.988,1,1,1,1,1,1
NH-500,0.879,0.754,0.892,0.934,0.932,0.913,0.942
NH-501,1,1,0.973,0.975,0.975,0.979,1
NH-502,0.811,0.851,0.85,0.851,0.88,0.838,0.853
NJ-500,1,1,1,0.858,0.863,0.904,0.946
NJ-501,1,1,1,1,1,1,1
NJ-502,0.873,0.872,0.59,0.891,0.909,1,1
NJ-503,0.934,0.954,0.957,0.926,1,0.97,0.977
NJ-504,0.996,1,0.97,0.967,0.945,0.919,0.728
NJ-506,0.998,1,0.997,1,0.931,0.928,0.856
NJ-507,0.913,0.89,0.855,0.826,0.876,1,1
NJ-508,0.914,0.856,0.904,0.904,0.974,0.95,0.935
NJ-509,1,1,1,1,1,1,0.959
NJ-510,0.245,0.26,0.393,0.393,0.77,0.77,1
NJ-511,0.809,0.814,0.8,0.8,0.805,0.77,0.745
NJ-512,0.772,,1,,,1,1
NJ-513,0.547,0.78,0.78,0.929,0.93,0.909,0.896
NJ-514,0.942,1,0.986,0.986,1,1,1
NJ-515,0.904,1,1,1,0.995,0.984,0.921
NJ-516,0.949,0.949,0.949,0.957,0.957,0.955,0.948
NM-500,0.648,0.656,0.623,0.607,0.852,0.811,0.755
NM-501,0.54,0.631,0.555,0.49,0.298,0.326,0.357
NV-500,0.996,0.92,0.911,0.925,0.999,1,1
NV-501,0.626,0.694,0.724,0.766,0.845,0.831,0.698
